deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p299_270.wav,4.4330416,4.4163113,4.1181364,4.2728286,4.373518,NISQAv2
p305_130.wav,4.6363773,4.587307,4.4656887,4.484329,4.461189,NISQAv2
p234_022.wav,4.762807,4.6393437,4.738756,4.488572,4.567903,NISQAv2
p255_066.wav,4.7629976,4.596698,4.672744,4.453858,4.436485,NISQAv2
p237_350.wav,4.4512486,4.2600827,4.5726714,4.253561,4.3716307,NISQAv2
p323_269.wav,4.9197364,4.6479955,4.77097,4.6955304,4.589278,NISQAv2
p302_291.wav,4.5915375,4.366193,4.394653,4.419337,4.4860835,NISQAv2
p347_229.wav,4.407256,4.1450543,4.2031465,3.9004257,4.044414,NISQAv2
p275_336.wav,5.0145473,4.7553735,4.868255,4.60998,4.780703,NISQAv2
p234_118.wav,4.2866106,3.7399843,4.07279,4.297358,4.239985,NISQAv2
p335_215.wav,4.3459234,3.5943427,3.4378583,4.383535,4.2109323,NISQAv2
p241_144.wav,4.8164716,4.592194,4.62589,4.4978786,4.5779214,NISQAv2
p251_218.wav,4.9800644,4.5973625,4.801644,4.6447954,4.630197,NISQAv2
p264_011.wav,4.639725,4.495468,4.5915556,4.389071,4.549022,NISQAv2
p312_115.wav,4.936952,4.6980386,4.78878,4.619285,4.648154,NISQAv2
p249_320.wav,4.657241,4.6044745,4.626001,4.43662,4.5033607,NISQAv2
p285_118.wav,4.7872543,4.631285,4.5808725,4.5637608,4.5865045,NISQAv2
p364_233.wav,4.5619984,4.382821,4.5517898,4.318523,4.427276,NISQAv2
p347_295.wav,4.5658817,4.3642898,3.921499,4.341319,4.3723097,NISQAv2
p335_399.wav,4.6697035,4.56057,4.759894,4.6007133,4.591636,NISQAv2
p316_170.wav,4.588713,4.420119,4.3904653,4.313379,4.347125,NISQAv2
p234_050.wav,4.7035694,4.6109967,4.4916353,4.3488345,4.430177,NISQAv2
p249_339.wav,4.7153354,4.402695,4.710159,4.440663,4.5817533,NISQAv2
p363_084.wav,4.9575553,4.683493,4.751579,4.660025,4.694846,NISQAv2
p333_190.wav,4.966818,4.64261,4.6259017,4.523152,4.574319,NISQAv2
p241_196.wav,4.9793034,4.5710397,4.775779,4.657999,4.7246976,NISQAv2
p341_293.wav,4.1572013,3.916102,3.1991413,4.3044043,3.8150318,NISQAv2
p341_384.wav,4.765356,4.1555724,4.4977207,4.60517,4.5704856,NISQAv2
p237_137.wav,4.005921,4.079089,4.113348,4.497978,4.3275285,NISQAv2
p333_253.wav,4.2418094,3.5741193,3.881009,3.5994694,4.2996526,NISQAv2
p249_114.wav,4.9113197,4.62629,4.672632,4.533823,4.643792,NISQAv2
p361_225.wav,4.534578,4.019476,4.3096943,3.4777596,4.3778358,NISQAv2
p363_123.wav,4.839706,4.5738487,4.71315,4.638078,4.6051,NISQAv2
p341_352.wav,4.0520515,4.1126904,4.3173466,4.1631026,4.374917,NISQAv2
p302_127.wav,4.8323064,4.5463853,4.7220683,4.535602,4.6451507,NISQAv2
p323_263.wav,4.0739627,4.059211,3.9552903,4.129762,4.153147,NISQAv2
p284_069.wav,4.940699,4.58122,4.726692,4.6273255,4.6971393,NISQAv2
p316_177.wav,4.4404836,4.232363,4.629833,4.3719773,4.510449,NISQAv2
p364_245.wav,4.6977515,4.571449,4.763973,4.573317,4.597888,NISQAv2
p251_248.wav,4.7575502,4.478321,4.644525,4.4132457,4.474011,NISQAv2
p363_019.wav,4.6146092,4.588065,4.691785,4.360245,4.5832562,NISQAv2
p347_087.wav,4.321743,4.1318135,3.9913554,4.055658,4.1477523,NISQAv2
p284_157.wav,4.301759,4.6226077,4.190758,4.3172708,4.4258137,NISQAv2
p341_390.wav,4.3493767,4.1114593,3.9535582,4.2814565,4.2808824,NISQAv2
p333_102.wav,4.8337717,4.547343,4.5564017,4.426951,4.4454126,NISQAv2
p272_018.wav,4.5714555,4.204676,4.5220995,4.2671094,4.476757,NISQAv2
p333_316.wav,5.068489,4.7163873,4.9138765,4.6877437,4.7904854,NISQAv2
p237_195.wav,4.6239395,4.4391212,4.4645667,4.350783,4.5039973,NISQAv2
p284_367.wav,4.829959,4.638801,4.7820435,4.5031447,4.6985097,NISQAv2
p237_131.wav,4.7165985,4.5689406,4.6948595,4.4038124,4.6051126,NISQAv2
p249_231.wav,4.634078,4.766417,4.63398,4.5654902,4.5022454,NISQAv2
p272_014.wav,4.5916643,4.243117,4.597169,4.334307,4.498105,NISQAv2
p249_303.wav,4.5977716,4.4273705,4.612676,4.3647137,4.5437303,NISQAv2
p363_140.wav,4.4519377,4.279663,4.071062,4.325934,4.101773,NISQAv2
p301_207.wav,4.76231,4.248573,4.710623,4.6330457,4.568437,NISQAv2
p326_247.wav,4.424364,4.542385,4.6780376,4.464125,4.557971,NISQAv2
